,icsdId     ICSD id
0,174097
1,201005
2,174407
3,23155
4,23155
5,23153
6,23153
7,23153
8,28950
9,414116
10,414117
11,52592
12,52592
13,55647
14,182047
15,55644
16,55649
17,55647
18,182047
19,182047
20,50645
21,82079
22,50645
23,82079
24,174642
25,174642
26,30531
32,43847
38,43853
39,43860
40,43860
41,43864
42,50161
43,606269
44,43869
45,203202
46,203202
47,203203
48,203203
49,8257
50,608233
51,52629
52,90554
53,180415
54,180417
55,90522
56,180416
65,52642
66,29521
67,66885
68,4115
69,27100
70,10032
71,75001
72,39160
73,68204
74,68205
75,56968
76,72865
77,609880
78,9071
79,25760
80,25760
81,25760
82,25760
83,25760
84,25760
85,25760
86,25760
87,25760
88,25761
89,25761
90,25761
91,25761
92,25761
93,25761
94,25761
95,610970
96,610970
97,610970
98,610970
99,610970
100,610970
101,610970
102,610970
103,610970
104,181530
105,16463
106,262387
107,16462
108,9577
109,9577
110,72942
111,611766
112,611766
113,32036
114,32036
115,170791
116,170791
117,79086
118,73873
121,58547
122,58547
123,58547
124,58547
125,58547
126,58547
127,58547
128,79087
129,44188
130,44188
131,152055
137,50512
138,245652
139,67497
140,152054
147,100791
148,181090
149,10505
155,173504
156,26586
157,922
158,35029
159,35459
160,35459
161,35459
162,35459
163,35029
164,35459
165,35459
166,35029
167,35459
168,35029
169,35029
170,45310
171,50869
172,50869
173,28918
174,50869
175,50869
176,50869
177,50869
178,28917
179,50869
180,50869
181,174264
182,174261
183,409867
184,174265
185,23925
186,161961
187,173848
188,173889
189,69720
190,161961
191,173850
192,173889
193,260303
194,89996
195,89996
196,10250
197,10332
198,89996
199,23874
200,89996
201,23873
202,23874
208,43799
209,43799
210,150792
211,150792
212,30661
213,15761
219,58662
220,245603
221,245606
222,67811
223,51656
224,15520
225,15520
226,15520
227,15520
228,15520
229,15520
230,160287
231,160287
232,160287
233,160287
234,172176
235,10253
236,160287
237,160287
238,172176
239,172176
240,160287
241,160287
242,160287
243,160287
244,172176
245,172176
246,6245
247,156706
248,156705
254,43138
260,27976
261,34619
262,109327
263,161341
264,73629
265,183932
266,73640
277,78168
278,78167
279,78167
280,78167
281,97461
287,174266
288,58673
289,412764
290,412768
291,174267
292,58677
293,616071
299,8
300,616087
301,154181
302,154184
303,63230
304,63230
305,154181
306,154182
307,23194
308,154181
309,154184
310,23194
311,63230
312,63230
313,86795
314,63228
315,63230
316,86795
317,86795
318,154184
319,154184
320,165977
326,10506
327,10486
328,10486
329,10486
330,10486
331,10486
332,10486
333,86794
334,86794
335,86794
336,106320
372,44421
373,152053
379,58834
380,58834
381,58834
382,58834
383,44423
384,61153
385,68091
390,68092
391,167915
392,54138
393,54138
394,79512
395,79512
396,808
397,808
398,72369
399,54136
400,54136
401,54136
402,54136
403,75469
404,75469
405,75469
406,75469
407,75469
408,75469
409,75469
410,35206
411,35206
412,35206
413,35206
414,35206
415,35206
416,35206
417,35206
418,61338
419,65244
420,50510
421,50510
422,402533
423,402533
424,42441
425,42441
426,42441
427,154260
428,154260
429,9704
430,32576
431,32576
432,32576
433,9704
434,32576
435,35375
436,35375
437,35375
438,75362
439,75362
440,75362
441,35376
