,Title,"Band Gap, HSE06","Dielectric Constant, Electronic",EBE
7,C2H8NGeF3,5.94,2.8,-3.265965340789546e+30
9,C2H8NGeF3,5.37,2.88,-3.1752440813231694e+30
11,C2H8NGeF3,5.89,2.74,-3.3374828300039156e+30
13,C2H8NGeF3,5.95,2.73,-3.349708041835432e+30
15,C2H8NGeF3,5.96,2.75,-3.325346528803901e+30
17,C2H8NGeF3,5.94,2.73,-3.349708041835432e+30
19,C2H8NGeF3,5.95,2.77,-3.3013368065742704e+30
21,C2H8NGeF3,5.74,2.79,-3.277671309752949e+30
23,C2H8NGeF3,5.7,2.63,-3.477073366620049e+30
25,C3H10NGeF3,5.74,2.62,-3.4903446390117284e+30
27,C3H10NGeF3,5.52,2.69,-3.399517826844137e+30
29,C3H10NGeF3,5.91,2.65,-3.450831303475747e+30
31,C3H10NGeF3,5.97,2.72,-3.362023144930415e+30
33,C3H10NGeF3,5.73,2.72,-3.362023144930415e+30
35,C3H10NGeF3,6.04,2.75,-3.325346528803901e+30
37,C3H10NGeF3,5.82,2.73,-3.349708041835432e+30
39,C3H10NGeF3,5.69,2.72,-3.362023144930415e+30
41,C4H12NGeF3,6.05,2.66,-3.43785825346268e+30
43,C4H12NGeF3,5.95,2.61,-3.5037176069772907e+30
45,C4H12NGeF3,5.55,2.66,-3.43785825346268e+30
47,C4H12NGeF3,6.22,2.72,-3.362023144930415e+30
49,C3H10NGeF3,6.19,2.69,-3.399517826844137e+30
51,C3H10NGeF3,5.91,2.73,-3.349708041835432e+30
53,C3H10NGeF3,6.39,2.71,-3.374429134395103e+30
55,C3H10NGeF3,6.28,2.73,-3.349708041835432e+30
57,C3H10NGeF3,6.35,2.63,-3.477073366620049e+30
59,C3H10NGeF3,6.42,2.72,-3.362023144930415e+30
61,C3H10NGeF3,6.12,2.68,-3.412202594854749e+30
63,C3H10NGeF3,6.06,2.74,-3.3374828300039156e+30
65,C3H10NGeF3,6.43,2.69,-3.399517826844137e+30
67,C2H8NGeF3,5.6,2.76,-3.3132981718154816e+30
69,C2H8NGeF3,5.59,2.73,-3.349708041835432e+30
71,C2H8NGeF3,5.79,2.72,-3.362023144930415e+30
73,C2H8NGeF3,5.84,2.7,-3.3869270200780474e+30
75,C2H8NGeF3,5.93,2.68,-3.412202594854749e+30
77,C2H7N2GeF3,5.25,2.83,-3.2313438000744625e+30
