,Title,"Band Gap, HSE06","Dielectric Constant, Electronic",EBE
7,C2H8NGeF3,5.94,2.8,4.877394848050258
9,C2H8NGeF3,5.37,2.88,4.365608556220344
11,C2H8NGeF3,5.89,2.74,4.780347861995049
13,C2H8NGeF3,5.95,2.73,4.8322036534388
15,C2H8NGeF3,5.96,2.75,4.858403386276235
17,C2H8NGeF3,5.94,2.73,4.8222036534388
19,C2H8NGeF3,5.95,2.77,4.864253490689834
21,C2H8NGeF3,5.74,2.79,4.669763955847693
23,C2H8NGeF3,5.7,2.63,4.495584092398911
25,C3H10NGeF3,5.74,2.62,4.526372532007755
27,C3H10NGeF3,5.52,2.69,4.368713479459104
29,C3H10NGeF3,5.91,2.65,4.72369535189947
31,C3H10NGeF3,5.97,2.72,4.8439694540324965
33,C3H10NGeF3,5.73,2.72,4.603969454032498
35,C3H10NGeF3,6.04,2.75,4.938403386276235
37,C3H10NGeF3,5.82,2.73,4.702203653438799
39,C3H10NGeF3,5.69,2.72,4.563969454032497
41,C4H12NGeF3,6.05,2.66,4.872598169584774
43,C4H12NGeF3,5.95,2.61,4.727054888905627
45,C4H12NGeF3,5.55,2.66,4.372598169584774
47,C4H12NGeF3,6.22,2.72,5.0939694540324965
49,C3H10NGeF3,6.19,2.69,5.038713479459105
51,C3H10NGeF3,5.91,2.73,4.792203653438799
53,C3H10NGeF3,6.39,2.71,5.255643933050207
55,C3H10NGeF3,6.28,2.73,5.1622036534388
57,C3H10NGeF3,6.35,2.63,5.14558409239891
59,C3H10NGeF3,6.42,2.72,5.2939694540324975
61,C3H10NGeF3,6.12,2.68,4.960105759734076
63,C3H10NGeF3,6.06,2.74,4.9503478619950485
65,C3H10NGeF3,6.43,2.69,5.278713479459104
67,C2H8NGeF3,5.6,2.76,4.506371509230469
69,C2H8NGeF3,5.59,2.73,4.4722036534387986
71,C2H8NGeF3,5.79,2.72,4.663969454032497
73,C2H8NGeF3,5.84,2.7,4.69722573507737
75,C2H8NGeF3,5.93,2.68,4.770105759734076
77,C2H7N2GeF3,5.25,2.83,4.209804168951295
79,C2H7N2GeF3,5.48,2.82,4.432413813278259
81,C2H7N2GeF3,5.86,2.84,4.82711659501017
83,C2H7N2GeF3,5.26,2.85,4.234352183282736
85,C2H7N2GeF3,5.16,2.86,4.141512006542377
87,C2H7N2GeF3,5.15,2.79,4.079763955847693
89,CH6NGeF3,4.93,2.91,3.946210910205834
91,CH6NGeF3,4.72,2.89,3.722547336444011
93,CH6NGeF3,5.75,2.76,4.656371509230469
95,CH6NGeF3,5.24,2.77,4.154253490689834
97,CH6NGeF3,5.43,2.82,4.382413813278259
99,CH6NGeF3,4.92,2.68,3.760105759734076
101,CH6N3GeF3,5.85,2.89,4.852547336444011
103,CH6N3GeF3,5.83,2.91,4.846210910205834
105,CH6N3GeF3,5.5,2.97,4.555558458741628
107,H4NOGe3F,5.41,3.06,4.520296852568887
109,H4NOGe3F,5.45,2.84,4.41711659501017
111,H4NOGe3F,5.62,2.94,4.656185803220189
113,H4NOGe3F,6.06,2.92,5.082937653489635
115,H4NOGe3F,5.6,2.93,4.629595639869308
117,H4NOGe3F,5.92,2.94,4.956185803220189
119,H4NOGe3F,5.77,2.89,4.772547336444011
121,CH5N2GeF3,5.29,2.94,4.326185803220189
123,CH5N2GeF3,4.53,2.92,3.5529376534896353
125,C4H12NGeF3,6.37,2.58,5.118448952694253
127,C4H12NGeF3,6.03,2.59,4.78809478223551
129,H5N2GeF3,5.55,3.03,4.642591751213282
131,H5N2GeF3,5.8,2.88,4.795608556220344
133,H5N2GeF3,5.4,3.02,4.486572475846896
135,H5N2GeF3,5.72,2.9,4.729414460013558
137,H5N2GeF3,5.36,2.96,4.4091663176490625
139,H5N2GeF3,5.86,2.89,4.8625473364440115
141,H5N2GeF3,5.3,2.97,4.355558458741628
143,H5N2GeF3,5.58,2.87,4.568597118905659
145,H4NGeF3,5.87,2.87,4.85859711890566
147,H4NGeF3,4.92,2.97,3.975558458741628
149,C3H10NGeF3,6.02,2.65,4.833695351899469
151,C3H10NGeF3,5.29,2.67,4.1214011430534905
153,C3H10NGeF3,6.38,2.62,5.166372532007754
155,C3H10NGeF3,6.16,2.58,4.908448952694253
157,C3H10NGeF3,6.63,2.63,5.4255840923989105
159,C3H10NGeF3,6.31,2.59,5.06809478223551
161,C3H10NGeF3,6.04,2.59,4.79809478223551
163,C3H8NGeF3,5.46,2.74,4.350347861995049
165,C3H8NGeF3,5.87,2.82,4.822413813278259
167,C3H8NGeF3,5.57,2.76,4.47637150923047
169,C3H8NGeF3,5.49,2.84,4.45711659501017
171,C3H8NGeF3,5.24,2.71,4.1056439330502075
173,C3H8NGeF3,5.18,2.74,4.070347861995049
175,C3H8NGeF3,5.55,2.63,4.34558409239891
177,C3H8NGeF3,5.52,2.78,4.442050567868384
179,C3H8NGeF3,5.65,2.78,4.572050567868385
181,C3H8NGeF3,5.63,2.78,4.552050567868385
183,C3H8NGeF3,5.49,2.76,4.39637150923047
185,C3H8NGeF3,5.69,2.71,4.555643933050208
187,C3H8NGeF3,6.1,2.66,4.922598169584774
189,C3H5N2GeF3,5.04,2.99,4.108150871770341
191,C3H5N2GeF3,5.23,2.99,4.298150871770342
193,C3H5N2GeF3,5.14,2.86,4.1215120065423765
195,C3H5N2GeF3,5.13,2.95,4.17270906161609
197,C3H5N2GeF3,4.83,2.94,3.866185803220189
199,C3H5N2GeF3,4.52,2.98,3.581886357451694
201,C2H8NGeCl3,3.69,3.23,2.8914852638014383
203,C2H8NGeCl3,3.56,3.31,2.799617711477079
205,C2H8NGeCl3,4.72,3.06,3.8302968525688863
207,C2H8NGeCl3,4.67,3.12,3.8141871721640808
209,C2H8NGeCl3,4.5,3.14,3.6550545264223726
211,C2H8NGeCl3,4.67,2.93,3.6995956398693086
213,C2H8NGeCl3,3.69,3.43,2.9818916105291184
215,C2H8NGeCl3,4.32,3.09,3.447488778784683
217,C2H8NGeCl3,3.14,3.26,2.3561142316905066
219,C2H8NGeCl3,4.54,2.92,3.562937653489635
221,C3H10NGeCl3,4.39,2.91,3.406210910205834
223,C3H10NGeCl3,4.24,2.92,3.2629376534896353
225,C3H10NGeCl3,3.86,2.97,2.915558458741628
227,C3H10NGeCl3,3.98,3.05,3.0844531694398305
229,C3H10NGeCl3,4.19,3.11,3.328674704429651
231,C3H10NGeCl3,3.7,3.17,2.8709715101865902
233,C3H10NGeCl3,4.72,2.87,3.7085971189056592
235,C3H10NGeCl3,4.38,2.95,3.4227090616160902
237,C3H10NGeCl3,4.24,3.03,3.3325917512132825
239,C3H10NGeCl3,4.83,2.84,3.79711659501017
241,C3H10NGeCl3,3.99,3.04,3.088551723588343
